                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.645,                  3.716,                 1.5304,                0.00543,                  0.936,                0.19667,                0.07721,                 2.2513,                 3.4503,                  1.266,                0.00014,                0.00014,                0.00014
                      2,                 1.8951,                 2.3474,                 1.2387,                0.00607,                      1,                0.43791,                0.13607,                 1.4637,                 3.1065,                 1.0206,             0.00028515,             0.00028515,             0.00028515
                      3,                 1.7149,                 1.5074,                 1.1632,                0.00669,                      1,                0.03334,                0.01002,                 1.4146,                 3.4056,                 1.1586,             0.00041446,             0.00041446,             0.00041446
                      4,                 1.7493,                 1.5788,                 1.1718,                0.00667,                      1,                0.22999,                0.07931,                 1.3595,                 3.0898,                 1.0872,             0.00052793,             0.00052793,             0.00052793
                      5,                 1.5952,                 1.4161,                 1.1467,                0.00642,                      1,                0.24756,                0.07499,                 1.3634,                 3.1134,                 1.0751,             0.00062556,             0.00062556,             0.00062556
                      6,                 1.5211,                 1.3906,                 1.0941,                0.00638,                      1,                0.03236,                0.01851,                 1.3871,                 2.9806,                 1.0641,             0.00070735,             0.00070735,             0.00070735
                      7,                 1.5152,                  1.264,                 1.1012,                0.00591,                      1,                0.10429,                0.04781,                  1.304,                 2.8194,                 1.0577,              0.0007733,              0.0007733,              0.0007733
                      8,                 1.4387,                 1.1826,                 1.0826,                0.00587,                      1,                0.86178,                0.50869,                 1.2419,                 2.7028,                 1.0682,             0.00082341,             0.00082341,             0.00082341
                      9,                  1.521,                  1.133,                 1.1077,                      1,                0.45879,                0.96116,                0.53125,                 1.3028,                 2.4238,                 1.0903,             0.00085768,             0.00085768,             0.00085768
                     10,                 1.4775,                 1.1139,                 1.0848,                      1,                0.29183,                0.98089,                0.55602,                 1.2466,                 2.3163,                 1.0757,             0.00087611,             0.00087611,             0.00087611
                     11,                  1.313,                 1.0724,                 1.0916,                0.92707,                0.71187,                0.90282,                0.39408,                 1.3468,                 2.0949,                 1.1339,              0.0008787,              0.0008787,              0.0008787
                     12,                 1.3413,                 1.0438,                 1.1167,                0.93478,                   0.84,                0.96802,                0.52257,                 1.4271,                 1.9343,                 1.1766,             0.00086545,             0.00086545,             0.00086545
                     13,                 1.3604,                 1.0377,                 1.1249,                      1,                0.90144,                0.98929,                0.64717,                 1.2069,                   1.76,                 1.0775,               0.000812,               0.000812,               0.000812
                     14,                 1.3129,                0.96268,                 1.1287,                      1,                0.96377,                0.99461,                0.64839,                 1.2248,                 1.4141,                 1.0816,               0.000812,               0.000812,               0.000812
                     15,                 1.3526,                0.93818,                 1.1503,                0.99371,                  0.984,                0.99484,                0.66924,                 1.2091,                 1.1551,                 1.0669,               0.000713,               0.000713,               0.000713
                     16,                 1.2213,                0.91752,                 1.1069,                0.99262,                  0.984,                0.99484,                0.67964,                 1.1236,                 1.0028,                 1.0366,               0.000614,               0.000614,               0.000614
                     17,                 1.3177,                0.90148,                 1.1243,                0.98997,                  0.992,                  0.995,                0.63792,                 1.2454,                0.99792,                 1.0743,               0.000515,               0.000515,               0.000515
                     18,                 1.2825,                0.92929,                 1.1132,                  0.992,                0.99159,                0.99492,                0.64011,                 1.2819,                0.94516,                 1.0855,               0.000416,               0.000416,               0.000416
                     19,                  1.152,                0.84385,                 1.0537,                0.99206,                0.99916,                0.99484,                0.68982,                 1.1165,                0.83062,                 1.0255,               0.000317,               0.000317,               0.000317
                     20,                 1.1588,                0.81414,                  1.053,                0.98889,                      1,                0.99476,                0.69349,                 1.1499,                0.81011,                 1.0401,               0.000218,               0.000218,               0.000218
