                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1891,                0.71922,                 1.1059,                0.99292,                      1,                  0.995,                0.70912,                 1.0718,                0.56879,                 1.0002,                0.00014,                0.00014,                0.00014
                      2,                 1.0984,                0.62041,                 1.0657,                0.99285,                      1,                  0.995,                0.66141,                 1.2157,                0.56176,                 1.0526,              0.0002703,              0.0002703,              0.0002703
                      3,                 1.1365,                0.81252,                 1.0389,                0.99276,                      1,                  0.995,                0.62356,                 1.3064,                0.63166,                 1.0774,             0.00036892,             0.00036892,             0.00036892
                      4,                 1.0557,                 0.5964,                 1.0204,                0.99391,                      1,                  0.995,                0.63263,                 1.2946,                0.59453,                  1.074,             0.00043586,             0.00043586,             0.00043586
                      5,                0.97649,                0.58065,                 1.0082,                0.99429,                      1,                  0.995,                0.59192,                 1.3764,                0.60412,                 1.1408,             0.00047112,             0.00047112,             0.00047112
                      6,                0.94813,                0.59769,                0.98837,                0.99431,                      1,                  0.995,                0.63334,                 1.2639,                0.61119,                 1.0833,              0.0004747,              0.0004747,              0.0004747
                      7,                 1.0383,                0.58604,                 1.0055,                0.99374,                      1,                  0.995,                0.69291,                 1.1425,                    0.6,                 1.0361,              0.0004466,              0.0004466,              0.0004466
                      8,                0.97346,                0.61129,                0.97656,                0.99417,                      1,                  0.995,                0.73693,                 1.0985,                0.55607,                 1.0033,             0.00038682,             0.00038682,             0.00038682
                      9,                 1.0304,                0.59507,                0.98766,                0.99344,                      1,                  0.995,                 0.6989,                 1.1384,                0.53656,                 1.0108,             0.00029536,             0.00029536,             0.00029536
                     10,                 1.0138,                0.58034,                 1.0324,                0.99362,                      1,                  0.995,                0.71046,                 1.1517,                0.53931,                 1.0192,             0.00017222,             0.00017222,             0.00017222
