                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1978,                 1.0007,                 1.0144,                0.98114,                0.44835,                0.96785,                0.43648,                 1.4761,                 2.3213,                 1.0714,                0.00014,                0.00014,                0.00014
                      2,                 1.2607,                 1.0008,                   1.01,                0.92999,                0.80155,                 0.9642,                0.44394,                 1.5491,                 1.9807,                 1.1163,              0.0002802,              0.0002802,              0.0002802
                      3,                 1.2565,                0.98121,                 1.0122,                0.97456,                      1,                0.99406,                0.63741,                 1.1721,                 1.5587,                 1.0043,             0.00039928,             0.00039928,             0.00039928
                      4,                 1.2401,                0.96841,                 1.0242,                0.94252,                0.94828,                0.98674,                 0.5506,                 1.5453,                 1.4941,                 1.1549,             0.00049724,             0.00049724,             0.00049724
                      5,                 1.2598,                0.93845,                 1.0966,                0.96032,                0.94828,                0.97459,                0.56553,                 1.4959,                 1.4546,                 1.1408,             0.00057408,             0.00057408,             0.00057408
                      6,                 1.2469,                0.92351,                 1.0287,                0.99038,                0.96552,                0.99349,                0.52291,                 1.5312,                 1.4083,                 1.1359,              0.0006298,              0.0006298,              0.0006298
                      7,                 1.2954,                0.97026,                 1.0315,                0.99086,                      1,                  0.995,                0.63677,                 1.1563,                 1.0982,                0.98727,              0.0006644,              0.0006644,              0.0006644
                      8,                 1.2109,                0.93703,                   1.02,                0.98684,                0.97414,                 0.9869,                0.55559,                 1.4371,                0.94199,                 1.1358,             0.00067788,             0.00067788,             0.00067788
                      9,                 1.2532,                0.93827,                 1.0231,                0.99138,                0.99096,                0.99397,                0.61588,                 1.2588,                0.89371,                 1.0752,             0.00067024,             0.00067024,             0.00067024
                     10,                 1.1797,                0.90195,                  1.011,                0.98285,                0.98838,                0.99122,                0.50366,                 1.5863,                 0.8862,                 1.2362,             0.00064148,             0.00064148,             0.00064148
                     11,                 1.2856,                0.87113,                 1.0725,                0.99011,                      1,                0.99457,                0.65553,                 1.1869,                0.78044,                 1.0612,              0.0005916,              0.0005916,              0.0005916
                     12,                 1.2666,                0.85564,                 1.0633,                0.99144,                0.99885,                0.99466,                0.63364,                  1.254,                0.80406,                 1.0827,              0.0005206,              0.0005206,              0.0005206
                     13,                 1.1503,                0.85182,                 1.0257,                0.98292,                0.99225,                0.99474,                0.54525,                 1.4518,                0.86972,                 1.1625,               0.000416,               0.000416,               0.000416
                     14,                 1.1742,                0.85582,                 1.0374,                0.99094,                0.99138,                0.99491,                0.65898,                 1.1203,                0.79194,                 1.0227,               0.000416,               0.000416,               0.000416
                     15,                 1.1267,                0.83028,                 1.0016,                 0.9961,                0.99138,                  0.995,                0.71637,                 1.0213,                0.74456,                0.97895,               0.000284,               0.000284,               0.000284
